City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-04-06 01:38:09,-23.1203,-134.9692,77.85,71,32,13.0
1,Touros,BR,2021-04-06 01:36:04,-5.1989,-35.4608,75.2,94,20,3.44
2,Longyearbyen,SJ,2021-04-06 01:38:09,78.2186,15.6401,12.2,62,40,20.71
3,Komsomolskiy,UZ,2021-04-06 01:38:10,40.4272,71.7189,42.8,87,64,4.61
4,Mataura,NZ,2021-04-06 01:38:10,-46.1927,168.8643,64.99,57,32,13.0
5,Davila,PH,2021-04-06 01:38:10,18.4726,120.5763,86.0,58,20,5.75
6,Mahebourg,MU,2021-04-06 01:38:11,-20.4081,57.7,75.2,88,75,3.44
7,Vanimo,PG,2021-04-06 01:38:11,-2.6741,141.3028,80.38,88,100,4.05
8,Busselton,AU,2021-04-06 01:38:11,-33.65,115.3333,70.0,84,9,1.99
9,Carnarvon,AU,2021-04-06 01:38:12,-24.8667,113.6333,80.6,57,50,14.97
10,Khani,GE,2021-04-06 01:38:12,41.9563,42.9566,48.2,93,90,6.91
11,Bambous Virieux,MU,2021-04-06 01:38:13,-20.3428,57.7575,79.0,88,75,3.44
12,Saldanha,ZA,2021-04-06 01:38:13,-33.0117,17.9442,55.4,88,5,4.61
13,Upernavik,GL,2021-04-06 01:38:14,72.7868,-56.1549,7.14,94,100,5.79
14,Hobart,AU,2021-04-06 01:38:14,-42.8794,147.3294,66.0,59,20,4.61
15,Rabo De Peixe,PT,2021-04-06 01:38:14,37.8,-25.5833,60.8,94,40,16.11
16,Qaanaaq,GL,2021-04-06 01:38:15,77.484,-69.3632,-0.72,60,100,2.46
17,Ushuaia,AR,2021-04-06 01:38:09,-54.8,-68.3,41.0,75,0,2.3
18,Ust-Nera,RU,2021-04-06 01:38:15,64.5667,143.2,10.85,86,100,5.21
19,Cherskiy,RU,2021-04-06 01:38:16,68.75,161.3,-4.29,89,33,5.44
20,Punta Arenas,CL,2021-04-06 01:38:16,-53.15,-70.9167,44.6,61,75,13.8
21,East London,ZA,2021-04-06 01:38:17,-33.0153,27.9116,63.88,88,100,7.74
22,Thompson,CA,2021-04-06 01:38:17,55.7435,-97.8558,32.0,100,90,11.5
23,Georgetown,MY,2021-04-06 01:38:17,5.4112,100.3354,84.2,83,20,3.44
24,Rawson,AR,2021-04-06 01:38:18,-43.3002,-65.1023,59.86,81,100,19.89
25,Sao Filipe,CV,2021-04-06 01:38:18,14.8961,-24.4956,75.49,63,5,10.96
26,Hilo,US,2021-04-06 01:38:18,19.7297,-155.09,71.6,83,90,5.75
27,Marfino,RU,2021-04-06 01:38:19,55.7028,37.3822,36.0,64,0,8.95
28,Ribeira Grande,PT,2021-04-06 01:38:19,38.5167,-28.7,59.97,76,100,11.27
29,Kavieng,PG,2021-04-06 01:38:20,-2.5744,150.7967,84.63,68,84,3.58
30,Brae,GB,2021-04-06 01:38:20,60.3964,-1.353,32.0,80,75,24.16
31,Chuy,UY,2021-04-06 01:38:20,-33.6971,-53.4616,68.67,89,36,9.55
32,Oyonnax,FR,2021-04-06 01:38:21,46.2592,5.6573,41.0,56,75,9.22
33,Nanortalik,GL,2021-04-06 01:38:21,60.1432,-45.2371,35.2,89,100,6.71
34,Bathsheba,BB,2021-04-06 01:38:21,13.2167,-59.5167,78.8,69,40,12.66
35,Puerto Ayora,EC,2021-04-06 01:38:22,-0.7393,-90.3518,78.01,94,69,4.14
36,Ponta Delgada,PT,2021-04-06 01:38:22,37.7333,-25.6667,60.8,94,40,16.11
37,Deputatskiy,RU,2021-04-06 01:38:22,69.3,139.9,-1.3,90,100,3.31
38,Portland,US,2021-04-06 01:33:31,45.5234,-122.6762,60.8,29,1,9.22
39,Bluff,NZ,2021-04-06 01:38:23,-46.6,168.3333,64.99,57,31,13.0
40,Pozo Colorado,PY,2021-04-06 01:38:23,-23.4923,-58.7972,79.41,51,100,1.97
41,Avarua,CK,2021-04-06 01:38:24,-21.2078,-159.775,82.4,78,75,17.27
42,Keffi,NG,2021-04-06 01:34:31,8.8486,7.8736,84.2,45,0,4.61
43,Rovaniemi,FI,2021-04-06 01:38:24,66.5,25.7167,30.2,86,90,16.11
44,Vostok,RU,2021-04-06 01:38:24,46.4856,135.8833,42.3,53,52,8.79
45,Dikson,RU,2021-04-06 01:38:25,73.5069,80.5464,-2.85,100,99,2.13
46,Cape Town,ZA,2021-04-06 01:33:47,-33.9258,18.4232,62.01,82,0,4.61
47,Pangnirtung,CA,2021-04-06 01:38:26,66.1451,-65.7125,7.34,97,100,1.45
48,Sisimiut,GL,2021-04-06 01:38:26,66.9395,-53.6735,18.36,89,100,4.94
49,Lebu,CL,2021-04-06 01:38:26,-37.6167,-73.65,58.68,78,100,15.46
50,Albany,US,2021-04-06 01:36:12,42.6001,-73.9662,50.0,32,20,13.8
51,Panlaitan,PH,2021-04-06 01:38:27,12.1191,119.8486,83.68,64,93,5.41
52,Payo,ID,2021-04-06 01:38:27,-3.7508,103.6372,81.0,69,100,1.34
53,Gold Coast,AU,2021-04-06 01:38:28,-28.0,153.4333,72.0,100,90,17.27
54,Biak,ID,2021-04-06 01:38:28,-0.9131,122.8766,85.23,62,60,2.1
55,Vangaindrano,MG,2021-04-06 01:38:28,-23.35,47.6,69.76,85,6,3.87
56,Saint-Philippe,RE,2021-04-06 01:38:29,-21.3585,55.7679,78.8,65,0,8.05
57,Taltal,CL,2021-04-06 01:38:29,-25.4,-70.4833,68.74,75,9,3.15
58,Hithadhoo,MV,2021-04-06 01:38:06,-0.6,73.0833,83.12,71,39,13.2
59,Ventspils,LV,2021-04-06 01:38:30,57.3894,21.5606,35.6,75,40,16.11
60,Kathmandu,NP,2021-04-06 01:38:30,27.7167,85.3167,53.6,71,20,3.44
61,Hastings,GB,2021-04-06 01:38:30,50.8552,0.5729,35.01,54,0,3.0
62,Ilulissat,GL,2021-04-06 01:38:31,69.2167,-51.1,17.6,86,90,2.3
63,Marquette,US,2021-04-06 01:38:31,46.5333,-87.6335,53.6,66,1,10.36
64,Karachi,PK,2021-04-06 01:33:47,24.9056,67.0822,78.8,78,20,5.75
65,Mbekenyera,TZ,2021-04-06 01:38:32,-10.0,38.9833,69.21,97,88,3.6
66,Egvekinot,RU,2021-04-06 01:38:32,66.3167,-179.1667,5.13,71,0,6.4
67,Tasiilaq,GL,2021-04-06 01:38:32,65.6145,-37.6368,15.8,79,20,21.85
68,Dondo,MZ,2021-04-06 01:34:09,-19.6094,34.7431,77.0,78,20,0.07
69,Port Hardy,CA,2021-04-06 01:38:33,50.6996,-127.4199,46.4,71,40,12.66
70,Souillac,MU,2021-04-06 01:38:33,-20.5167,57.5167,75.2,88,75,3.44
71,Chernaya Kholunitsa,RU,2021-04-06 01:38:34,58.8511,51.7154,31.3,96,100,7.34
72,San Cristobal,VE,2021-04-06 01:38:34,7.7669,-72.225,80.6,57,75,6.91
73,Kapaa,US,2021-04-06 01:38:34,22.0752,-159.319,78.8,57,75,18.41
74,Imbituba,BR,2021-04-06 01:38:21,-28.24,-48.6703,69.8,88,20,2.3
75,Dutlwe,BW,2021-04-06 01:38:35,-23.9833,23.9,71.28,40,2,6.93
76,Faanui,PF,2021-04-06 01:38:35,-16.4833,-151.75,81.52,70,100,16.62
77,Jamestown,US,2021-04-06 01:38:35,42.097,-79.2353,46.0,65,90,5.75
78,Broadstairs,GB,2021-04-06 01:35:29,51.3591,1.4394,37.99,56,6,5.99
79,Tabuk,PH,2021-04-06 01:38:36,17.4189,121.4443,80.06,68,53,7.52
80,Cockburn Town,TC,2021-04-06 01:38:36,21.4612,-71.1419,73.76,65,100,17.58
81,Coahuayana,MX,2021-04-06 01:34:51,18.7333,-103.6833,73.0,86,2,1.32
82,Esperance,AU,2021-04-06 01:33:44,-33.8667,121.9,82.4,34,5,12.66
83,Pevek,RU,2021-04-06 01:38:37,69.7008,170.3133,-8.03,92,98,4.97
84,Gimli,CA,2021-04-06 01:38:38,50.6336,-96.9907,48.2,49,7,8.05
85,Sur,OM,2021-04-06 01:38:38,22.5667,59.5289,79.48,52,0,4.76
86,Usinsk,RU,2021-04-06 01:38:38,65.9939,57.5281,16.39,95,50,6.93
87,Arraial Do Cabo,BR,2021-04-06 01:38:39,-22.9661,-42.0278,66.2,100,20,2.3
88,Kodiak,US,2021-04-06 01:38:39,57.79,-152.4072,39.2,33,1,24.16
89,Turbat,PK,2021-04-06 01:38:39,26.0023,63.044,76.24,62,17,1.01
90,Santa Cruz Cabralia,BR,2021-04-06 01:38:40,-16.2781,-39.0247,75.2,83,20,3.44
91,San Patricio,US,2021-04-06 01:34:23,28.017,-97.5169,71.6,83,90,17.27
92,San Vicente,AR,2021-04-06 01:38:40,-26.6167,-54.1333,64.09,83,100,3.47
93,Badarganj,BD,2021-04-06 01:38:41,25.674,89.0549,82.8,16,0,1.77
94,Victoria,HK,2021-04-06 01:33:52,22.2855,114.1577,79.0,81,99,1.01
95,Port Alfred,ZA,2021-04-06 01:38:41,-33.5906,26.891,62.58,80,100,3.22
96,Torbay,CA,2021-04-06 01:38:33,47.6666,-52.7314,41.0,100,90,9.22
97,Nambour,AU,2021-04-06 01:38:41,-26.6333,152.95,78.01,100,100,5.01
98,Alekseyevka,RU,2021-04-06 01:38:42,50.6309,38.6903,38.89,81,84,6.51
99,Saskylakh,RU,2021-04-06 01:38:42,71.9167,114.0833,-0.09,86,100,10.36
100,Beringovskiy,RU,2021-04-06 01:38:42,63.05,179.3167,7.72,86,100,17.78
101,Mushie,CD,2021-04-06 01:38:43,-3.0167,16.9,73.18,92,99,2.71
102,Norman Wells,CA,2021-04-06 01:38:43,65.282,-126.8329,8.6,56,75,13.8
103,La Asuncion,VE,2021-04-06 01:35:18,11.0333,-63.8628,78.8,89,63,16.11
104,Cabo San Lucas,MX,2021-04-06 01:38:44,22.8909,-109.9124,86.0,28,1,11.5
105,Acurenam,GQ,2021-04-06 01:38:44,1.0322,10.6488,68.43,97,92,2.44
106,Los Llanos De Aridane,ES,2021-04-06 01:34:51,28.6585,-17.9182,62.6,67,0,8.05
107,Dingle,PH,2021-04-06 01:38:45,10.9995,122.6711,85.26,63,100,12.73
108,Bredasdorp,ZA,2021-04-06 01:38:45,-34.5322,20.0403,59.0,94,100,9.22
