City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
1,Rikitea,PF,77.25,clear sky,-23.1203,-134.9692,Pension Maro'i
2,Puerto Ayora,EC,77.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Montoro,ES,60.8,clear sky,38.0241,-4.3834,Hotel Mirador De Montoro
6,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
7,Cosala,MX,72.0,few clouds,24.4125,-106.6908,Hotel Real del Conde
8,Mataura,NZ,64.99,few clouds,-46.1927,168.8643,Ellie's Villa
9,Jalu,LY,62.62,few clouds,29.0331,21.5482,صاحبة الفخامة
10,Hilo,US,77.0,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
11,Rairangpur,IN,82.4,haze,22.2676,86.1751,Rairangpur Town PS
16,Buraydah,SA,71.6,clear sky,26.326,43.975,فندق راحة السلام
17,Alta Floresta,BR,71.42,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
19,Port Alfred,ZA,68.2,overcast clouds,-33.5906,26.891,The Halyards Hotel
20,Kaitangata,NZ,64.99,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
21,Busselton,AU,64.0,scattered clouds,-33.65,115.3333,Observatory Guest House
22,Sao Filipe,CV,74.91,overcast clouds,14.8961,-24.4956,Tortuga B&B
26,Maldonado,UY,70.0,clear sky,-34.6667,-54.9167,La Cimarrona
28,Praia,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
30,Naze,JP,71.6,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
31,Reconquista,AR,70.21,scattered clouds,-29.15,-59.65,Grand Hotel
33,Kavieng,PG,79.99,moderate rain,-2.5744,150.7967,Nusa Island Retreat
34,Springbok,ZA,67.42,clear sky,-29.6643,17.8865,Undulata Country Lodge
35,Hokitika,NZ,60.6,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
36,Amuntai,ID,83.53,broken clouds,-2.4177,115.2494,Hotel Balqis
37,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
38,Pochutla,MX,84.99,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
39,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
40,Samarai,PG,83.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
41,Cape Town,ZA,63.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
44,Sinjar,IQ,65.21,broken clouds,36.3209,41.8754,زوماني فون 1
45,Katsuura,JP,60.8,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
46,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
48,Adjumani,UG,67.71,scattered clouds,3.3779,31.7909,Hotel Zawadi
50,Riyadh,SA,69.8,clear sky,24.6877,46.7219,InterContinental Riyadh
52,Andros Town,BS,68.0,clear sky,24.7,-77.7667,Hanks place
53,Kaeo,NZ,73.99,broken clouds,-35.1,173.7833,Bushido Lodge
54,Saint George,US,79.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
55,Saint-Philippe,RE,78.8,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
57,Abu Dhabi,AE,69.8,mist,24.4667,54.3667,Ramee Garden Hotel Apartments
60,Los Algarrobos,PA,80.6,scattered clouds,8.5,-82.4333,Waterfall Hostel
61,Camacha,PT,64.4,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
63,Lydenburg,ZA,60.01,overcast clouds,-25.0978,30.4597,The Palms Boutique Hotel
64,Atuona,PF,80.73,clear sky,-9.8,-139.0333,Villa Enata
68,Vila Do Maio,CV,73.4,clear sky,15.1333,-23.2167,Residence 'I Delfini'
70,Medicine Hat,CA,60.8,overcast clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
72,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
74,Hobart,AU,73.99,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
78,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
81,New Norfolk,AU,73.99,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
82,Boyle,US,73.4,clear sky,37.6334,-84.8666,Chaplin Hill Bed and Breakfast
83,Jamestown,US,62.6,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
84,Marsh Harbour,BS,70.29,clear sky,26.5412,-77.0636,Abaco Beach Resort
85,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
86,Hithadhoo,MV,82.89,broken clouds,-0.6,73.0833,Scoop Guest House
87,Kingman,US,78.8,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
88,Bluff,NZ,64.99,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
89,Robertsport,LR,79.27,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
90,Mamallapuram,IN,77.0,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
93,Moroni,KM,79.36,light rain,-11.7022,43.2551,Hotel les Arcades
96,Samana,DO,73.76,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
97,Mar Del Plata,AR,70.0,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
98,San Policarpo,PH,80.92,overcast clouds,12.1791,125.5072,JM Lodge
99,Fort Dodge,US,62.6,overcast clouds,42.4975,-94.16799999999999,"Country Inn & Suites by Radisson, Fort Dodge, IA"
102,Santiago Del Estero,AR,83.91,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
103,Alenquer,BR,77.0,clear sky,-1.9417,-54.7383,Josilene Castro
107,Puerto Colombia,CO,77.0,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
108,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
113,Saint Anthony,US,66.2,few clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
117,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
119,Carnarvon,AU,78.8,clear sky,-24.8667,113.6333,Hospitality Carnarvon
122,San Jose De Sisa,PE,75.2,scattered clouds,-6.6167,-76.6915,Killu Sisa Hospedaje
125,Kalmunai,LK,76.17,broken clouds,7.4167,81.8167,VS Villa
128,Butaritari,KI,81.46,light rain,3.0707,172.7902,Isles Sunset Lodge
129,Oiso,JP,61.0,broken clouds,35.3031,139.3028,Oiso Prince Hotel
132,Waipawa,NZ,69.8,clear sky,-41.4122,175.5153,Tora Coastal Walk
135,Morondava,MG,75.13,few clouds,-20.2833,44.2833,La Case Bambou
137,Ankazoabo,MG,67.98,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
138,Lima,PE,69.8,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
140,Calvinia,ZA,66.07,broken clouds,-31.4707,19.776,Die Lemoenhuis
142,Denpasar,ID,84.2,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
147,Coquimbo,CL,60.8,overcast clouds,-29.9533,-71.3436,Punto de encuentro
148,Najran,SA,62.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
149,Necochea,AR,73.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
150,Ahipara,NZ,70.3,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
151,Sakaiminato,JP,60.8,broken clouds,35.55,133.2333,味処・民宿 まつや
152,Port-Gentil,GA,81.39,scattered clouds,-0.7193,8.7815,Fengshui Residence
155,Cabo San Lucas,MX,84.2,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
156,Ribeira Grande,PT,60.1,broken clouds,38.5167,-28.7,Quinta da Meia Eira
157,Airai,TL,68.58,overcast clouds,-8.9266,125.4092,Juvinal Martin
162,Brazzaville,CG,77.0,overcast clouds,-4.2658,15.2832,Hotel Murex
163,Bengkulu,ID,77.49,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Benghazi,LY,61.29,overcast clouds,32.1167,20.0667,Tibesti Hotel
166,Kilindoni,TZ,78.98,moderate rain,-7.9139,39.6668,Bustani B&B
167,Kanniyakumari,IN,79.18,overcast clouds,8.0833,77.5667,Sparsa
168,Honiara,SB,82.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
171,Tikrit,IQ,73.26,broken clouds,34.6071,43.6782,فندق تكريت بلازا
174,Cidreira,BR,74.03,clear sky,-30.1811,-50.2056,Hotel Castelo
176,Buala,SB,82.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
178,Codrington,AU,73.08,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
